source,brand,processor,gpu,ram_gb,ram_type,storage_gb,storage_type,os,price
ds01,HP,5th Gen AMD Ryzen 5 5600H,4GB AMD Radeon RX 6500M,8,DDR4,512,SSD,Windows 11,49900
ds01,HP,12th Gen Intel Core i3 1215U,Intel UHD Graphics,8,DDR4,512,SSD,Windows 11,39900
ds01,Acer,11th Gen Intel Core i3 1115G4,Intel Iris Xe Graphics,8,DDR4,512,SSD,Windows 11,26990
ds01,Lenovo,12th Gen Intel Core i5 1240P,Intel Integrated Iris Xe,16,LPDDR5,512,SSD,Windows 11,59729
ds01,Apple,Apple M1,Apple M1 Integrated Graphics,8,DDR4,256,SSD,macOS,69990
ds01,Acer,12th Gen Intel Core i5 1240P,Intel Iris Xe Graphics,8,DDR4,512,SSD,Windows 11,39990
ds01,Dell,12th Gen Intel Core i3 1215U,Intel UHD Graphics,8,DDR4,512,SSD,Windows 11,36790
ds01,Acer,13th Gen Intel Core i5 13420H,6GB NVIDIA GeForce RTX 4050,16,DDR5,512,SSD,Windows 11,76990
ds01,Asus,12th Gen Intel Core i5 12500H,Intel Iris Xe,8,DDR4,512,SSD,Windows 11,48990
ds01,Samsung,12th Gen Intel Core i5 1240P,Intel Iris Xe Graphics,16,LPDDR5,512,SSD,Windows 11,74990
ds01,Lenovo,12th Gen Intel Core i7 1255U,Intel Integrated UHD,16,DDR4,512,SSD,Windows 11,49990
ds01,Ultimus,Intel Celeron  N4020,Intel Integrated UHD Graphics,4,DDR4,128,SSD,Windows 11,10990
ds01,Asus,12th Gen Intel Core i5 12500H,4GB NVIDIA GeForce RTX 3050,16,DDR4,512,SSD,Windows 11,72990
ds01,Primebook,MediaTek MTK8788,ARM Mali G72,4,LPDDR4,64,HDD,Android,10990
ds01,Lenovo,7th Gen AMD Ryzen 3 7320U,AMD Radeon Graphics,8,LPDDR5,512,SSD,Windows 11,29990
ds01,Asus,11th Gen Intel Core i5 11400H ,4GB NVIDIA GeForce RTX 2050,8,DDR4,512,SSD,Windows 11,53649
ds01,MSI,11th Gen Intel Core i3 1115G4,Intel Integrated UHD,8,DDR4,512,SSD,Windows 11,33990
ds01,Infinix,13th Gen Intel Core i9 13900H,Intel Integrated Iris Xe,32,LPDDR5X,1024,SSD,Windows 11,79990
ds01,HP,12th Gen Intel Core i5 12450H,4GB NVIDIA GeForce RTX 3050,16,DDR4,512,SSD,Windows 11,68990
ds01,Lenovo,11th Gen Intel Core i5 11300H,4GB NVIDIA GeForce GTX 1650,8,DDR4,512,SSD,Windows 11,45990
ds01,Asus,5th Gen AMD Ryzen 5 5600H,AMD Radeon Vega 7,8,DDR4,512,SSD,Windows 11,49900
ds01,Apple,Apple M2,8-Core GPU,8,DDR4,256,SSD,macOS,104990
ds01,Acer,12th Gen Intel Core i5 12450H,4GB NVIDIA GeForce RTX 2050,16,DDR4,512,SSD,Windows 11,54990
ds01,HP,11th Gen Intel Core i5 1135G7 ,Intel Iris Xe Graphics,16,DDR4,512,SSD,Windows 11,49580
ds01,Asus,5th Gen AMD Ryzen 7  5800H,AMD Radeon Vega 7,16,DDR4,512,SSD,Windows 11,55990
ds01,HP,5th Gen AMD Ryzen 5 5500U,AMD Radeon AMD,16,DDR4,512,SSD,Windows 11,43990
ds01,HP,3rd Gen AMD Athlon 3050U,AMD Integrated,4,DDR4,256,SSD,DOS,19850
ds01,Acer,Intel Core i3 N305,Intel Integrated UHD,8,LPDDR5,512,SSD,Windows 11,28990
ds01,Acer,12th Gen Intel Core i5 1240P,4GB NVIDIA GeForce RTX 2050,16,DDR4,512,SSD,Windows 11,54999
ds01,Dell,13th Gen Intel Core i7 1355U,Intel UHD Graphics,16,DDR4,512,SSD,Windows 11,70990
ds01,Lenovo,6th Gen AMD Ryzen 5 6600H,4GB NVIDIA GeForce RTX 3050,8,DDR4,512,SSD,Windows 11,56889
ds01,Acer,13th Gen Intel Core i9 13900HX,8GB NVIDIA GeForce RTX 4070,16,DDR5,1024,SSD,Windows 11,179880
ds01,HP,5th Gen AMD Ryzen 5 5600H,4GB AMD Radeon RX 6500M Graphics,16,DDR4,512,SSD,Windows 11,53790
ds01,Acer,5th Gen AMD Ryzen 5 5500U,AMD Graphics,16,DDR4,512,SSD,Windows 11,37990
ds01,Acer,12th Gen Intel Core i7 12650H,8GB NVIDIA GeForce RTX 3070 Ti,16,DDR4,1024,SSD,Windows 11,96990
